seller,profile_url,positioning,member_since,completed_orders,reviews,success_rate,on_time_rate,repeat_rate,rank,observed_kwork_pattern
Mendax,https://kwork.ru/user/mendax,"Сайты под ключ: WordPress, Tilda, Битрикс","12 июня 2016",3781,,99%,100%,62%,"Высший рейтинг плюс; Мега Продавец","500₽ microfix + настройка CMS + верстка + сайты под ключ"
ameganix,https://kwork.ru/user/ameganix,"Full-Stack разработчик веб приложений","16 августа 2016",3651,1997,99%,100%,57%,"Высший рейтинг; Мега Продавец","много узких скриптов/калькуляторов + парсинг; один навык разложен на buyer intents"
rokoss21,https://kwork.ru/user/rokoss21,"Доработка и восстановление сложных проектов","15 марта 2026",92,82,100%,97%,42%,"Высший рейтинг","широкий профиль: сайт fix, WordPress, backend/API, parsing, Telegram/MAX, AI"
alexwebdev_pro,https://kwork.ru/user/alexwebdev_pro,"Full-stack Web Developer","19 марта 2018",2162,1829,99%,94%,56%,"Высший рейтинг плюс; Мега Продавец","CSS/HTML/JS + WordPress/MODX/Bitrix + PageSpeed + VPS/migration"
alexgah,https://kwork.ru/user/alexgah,"Frontend и Backend разработчик","6 февраля 2020",3862,2606,100%,100%,76%,"Высший рейтинг плюс; Мега Продавец","проблемно-ориентированные micro-kworks: Error 500, site health, email issue, CMS fixes"
hello_wp,https://kwork.ru/user/hello_wp,"WordPress, Figma","26 января 2017",,,99%,99%,52%,"Высший рейтинг; Мега Продавец","WordPress modification + site creation + layout"
modx_master,https://kwork.ru/user/modx_master,"🏆 Web-разработчик","3 сентября 2020",1951,1146,100%,100%,73%,"Высший рейтинг; Мега Продавец","узкая CMS, но много отдельных intents: migration/update/small fix/help/cookies/anti-spam"
LEOnidUKG,https://kwork.ru/user/leonidukg,"SEO статьи, настройка сервера, исправление PHP","1 апреля 2017",,1740,100%,100%,48%,"Высший рейтинг; Мега Продавец","очень широкий problem-solving: server + PHP + migration + one technical website issue"
axldev,https://kwork.ru/user/axldev,"Веб-разработчик","21 ноября 2020",,,99%,100%,44%,"Высший рейтинг плюс; Мега Продавец","Telegram/MAX bot + bot with admin + Mini App + MAX bot"
FLADE_DIGITAL,https://kwork.ru/user/flade_digital,"FLADE: Digital - агентство","21 апреля 2019",233,195,99%,98%,20%,,"high-ticket bots/mini apps + websites/services/ecommerce"
n8n_botz,https://kwork.ru/user/n8n_botz,"Архитектор ИИ-решений для бизнеса","31 июля 2023",453,313,99%,100%,34%,"Высший рейтинг плюс; Мега Продавец","несколько близких AI-agent/n8n карточек под CRM, заявки, продажи, поддержку"
anastasia_dev,https://kwork.ru/user/anastasia_dev,"Программист широкого профиля - все виды IT работ","2 марта 2025",102,76,98%,99%,25%,"Высший рейтинг","широкая матрица: AI, Python, n8n, TG/VK WebApp, Chrome extension, scripts, site"
AIAmbassador,https://kwork.ru/user/aiambassador,"Специалист по искусственному интеллекту","25 января 2020",,,97%,89%,25%,"Мега Продавец","trend/product cards: ChatGPT+Bitrix24, OpenClaw, Hermes, voice AI, Ozon agent, MCP"
Opencart-master,https://kwork.ru/user/opencart-master,"Разработчик сайтов на CMS Opencart","23 апреля 2017",,,100%,100%,33%,"Высший рейтинг; Мега Продавец","store under key + module install + support + setup"
theInt,https://kwork.ru/user/theint,,"10 ноября 2015",,2868,99%,83%,58%,"Высший рейтинг; Мега Продавец","mobile adaptation and layout corrections"
artemrav,https://kwork.ru/user/artemrav,"Волшебник","29 декабря 2015",,,100%,100%,52%,"Высший рейтинг плюс; Мега Продавец","layout fixes + website problems + WordPress + malware + access recovery + any site fix"
YuriCoder,https://kwork.ru/user/yuricoder,"JavaScript, Google Sheets программист","7 апреля 2018",541,157,100%,100%,53%,"Высший рейтинг плюс; Мега Продавец","Google Sheets ecosystem productized by use case: WB API, TG bot, GPT, Gmail, forms"
PerfectCode,https://kwork.ru/user/perfectcode,"Программист","20 февраля 2022",344,,100%,98%,45%,"Высший рейтинг; Мега Продавец","parser repair/build + browser automation/script"
Navi_droid,https://kwork.ru/user/navi_droid,,"7 сентября 2017",,950,100%,100%,55%,"Высший рейтинг; Мега Продавец","parser → Excel/CSV/TXT + VBA/import macros"
Constantinesx,https://kwork.ru/user/constantinesx,"Программист","22 марта 2021",,240,98%,96%,27%,"Высший рейтинг; Мега Продавец","SQL + Telegram + Python scripts + form→Telegram + parsing + Linux + custom programs"
max_volkov,https://kwork.ru/user/max_volkov,"Web разработчик","7 октября 2021",1073,938,100%,99%,46%,"Высший рейтинг; Мега Продавец","Bitrix matrix: site creation + modifications + virus removal + PHP upgrade"
RavStyle,https://kwork.ru/user/ravstyle,"Web developer","31 марта 2016",1533,995,99%,99%,48%,"Высший рейтинг плюс; Мега Продавец","layout + WordPress + migration + copy/landing/site + speed + plugin + modification"
