segment,title,url,seller,seller_url,price_rub,rating,reviews,badge
ai-agents,"AI-агент для бизнеса: заявки, CRM, продажи и поддержка на n8n",https://kwork.ru/script-programming/29509247/ai-agent-dlya-biznesa-zayavki-crm-prodazhi-i-podderzhka-na-n8n,n8n_botz,https://kwork.ru/user/n8n_botz,500000,5.0,313,
ai-agents,"Создание автоматизации n8n",https://kwork.ru/script-programming/42361188/sozdanie-avtomatizatsii-n8n,anastasia_dev,https://kwork.ru/user/anastasia_dev,2500,5.0,76,Выбор Kwork
ai-agents,"Создам ИИ агент: автоматизирую поддержку, продажи и рутину, ии бот",https://kwork.ru/script-programming/43854402/sozdam-ii-agent-avtomatiziruyu-podderzhku-prodazhi-i-rutinu-ii-bot,anastasia_dev,https://kwork.ru/user/anastasia_dev,2500,5.0,76,Выбор Kwork
ai-agents,"AI-агент для заявок, CRM, продаж и поддержки на n8n",https://kwork.ru/script-programming/47458602/ai-agent-dlya-zayavok-crm-prodazh-i-podderzhki-na-n8n,n8n_botz,https://kwork.ru/user/n8n_botz,500000,5.0,313,Выбор Kwork
ai-agents,"Openclaw - установлю и настрою вашего личного агента на сервер",https://kwork.ru/script-programming/48821558/openclaw-ustanovlyu-i-nastroyu-vashego-lichnogo-agenta-na-server,AIAmbassador,https://kwork.ru/user/aiambassador,2000,5.0,202,Выбор Kwork
ai-agents,"AI агент и LLM GPT интеграция в ваш проект, OpenAI, Claude, ИИ чат-бот",https://kwork.ru/script-programming/50203350/ai-agent-i-llm-gpt-integratsiya-v-vash-proekt-openai-claude-ii-chat-bot,rokoss21,https://kwork.ru/user/rokoss21,15000,5.0,83,Выбор Kwork
ai-agents,"Hermes agent - личный самообучающийся агент",https://kwork.ru/script-programming/50717118/hermes-agent-lichniy-samoobuchayushchiysya-agent,AIAmbassador,https://kwork.ru/user/aiambassador,2500,5.0,202,
ai-agents,"Разработаю MVP приложение, бота, AI-сервис, OpenClaw, RAG система",https://kwork.ru/script-programming/50921875/razrabotayu-mvp-prilozhenie-bota-ai-servis-openclaw-rag-sistema,RuslanSenatorov,https://kwork.ru/user/ruslansenatorov,500,5.0,34,Выбор Kwork
ai-agents,"Telegram-бот с ИИ для медицины и реабилитации и другие сферы под ключ",https://kwork.ru/script-programming/51436695/telegram-bot-s-ii-dlya-meditsiny-i-reabilitatsii-i-drugie-sfery-pod-klyuch,9503060,https://kwork.ru/user/9503060,35000,5.0,15,
ai-agents,"Настрою автопостинг из Telegram в TikTok, YouTube, VK через Make.com",https://kwork.ru/script-programming/52317068/nastroyu-avtoposting-iz-telegram-v-tiktok-youtube-vk-cherez-make-com,PlusPlus,https://kwork.ru/user/plusplus,1000,4.1,11,
ai-agents,"ИИ-агент. Мониторинг Телеграм-чатов, каналов: лиды, заявки, упоминания",https://kwork.ru/script-programming/52499182/ii-agent-monitoring-telegram-chatov-kanalov-lidy-zayavki-upominaniya,datamarkets,https://kwork.ru/user/datamarkets,4000,5.0,1,
ai-agents,"Создам MVP AI-агента с расширенным бизнес-функционалом с нуля",https://kwork.ru/script-programming/52798254/sozdam-mvp-ai-agenta-s-rasshirennym-biznes-funktsionalom-s-nulya,novaclaw_it,https://kwork.ru/user/novaclaw_it,9000,5.0,11,
ai-agents,"Контент-завод на базе AI",https://kwork.ru/script-programming/52823312/kontent-zavod-na-baze-ai,Ikam_pro,https://kwork.ru/user/ikam_pro,65000,,,
ai-agents,"Создам ИИ-агента по вашим документам и товарам для сайта или Telegram",https://kwork.ru/script-programming/53055105/sozdam-ii-agenta-po-vashim-dokumentam-i-tovaram-dlya-sayta-ili-telegram,business_partner,https://kwork.ru/user/business_partner,25000,4.8,98,
ai-agents,"Разработаю автоматизацию сценариев любой сложности в n8n, Make, Zapier",https://kwork.ru/script-programming/53062235/razrabotayu-avtomatizatsiyu-stsenariev-lyuboy-slozhnosti-v-n8n-make-zapier,novaclaw_it,https://kwork.ru/user/novaclaw_it,13000,5.0,11,
ai-agents,"Правки в готовых автоматизациях N8N",https://kwork.ru/script-programming/53248956/pravki-v-gotovykh-avtomatizatsiyakh-n8n,maksim-pahryaev,https://kwork.ru/user/maksim-pahryaev,2000,5.0,50,
ai-agents,"Создам AI-продавца",https://kwork.ru/script-programming/53284635/sozdam-ai-prodavtsa,levilcs2,https://kwork.ru/user/levilcs2,2000,4.4,17,
ai-agents,"Подготовлю схему и мини-ТЗ для ИИ-бота или автоматизации",https://kwork.ru/script-programming/53285815/podgotovlyu-skhemu-i-mini-tz-dlya-ii-bota-ili-avtomatizatsii,iag0910-infograf,https://kwork.ru/user/iag0910-infograf,6000,,,
ai-agents,"Разработка и доработка RAG системы, AI-сервиса",https://kwork.ru/script-programming/53294482/razrabotka-i-dorabotka-rag-sistemy-ai-servisa,Markolisi,https://kwork.ru/user/markolisi,500,5.0,1,
ai-agents,"Создам ИИ-агента для учета, продаж и аналитики на маркетплейсах",https://kwork.ru/script-programming/53312643/sozdam-ii-agenta-dlya-ucheta-prodazh-i-analitiki-na-marketpleysakh,kalitamartasamara,https://kwork.ru/user/kalitamartasamara,165000,5.0,6,
ai-agents,"Создам ИИ-агента для автоматизации бизнеса любой сложности",https://kwork.ru/script-programming/53712719/sozdam-ii-agenta-dlya-avtomatizatsii-biznesa-lyuboy-slozhnosti,itITocka,https://kwork.ru/user/ititocka,13000,5.0,3,
ai-agents,"Создам ИИ агента для бизнеса: отвечает клиентам и продаёт 24 на 7",https://kwork.ru/script-programming/53757302/sozdam-ii-agenta-dlya-biznesa-otvechaet-klientam-i-prodayot-24-na-7,MaxAbu,https://kwork.ru/user/maxabu,500,5.0,2,
ai-agents,"Создам AI-ассистента или умного бота на базе нейросетей",https://kwork.ru/script-programming/53782274/sozdam-ai-assistenta-ili-umnogo-bota-na-baze-neyrosetey,kkaydowner,https://kwork.ru/user/kkaydowner,19000,,,
ai-agents,"Чат-бот для онлайн-школ и инфобизнеса",https://kwork.ru/script-programming/53814840/chat-bot-dlya-onlayn-shkol-i-infobiznesa,Monolit_Agency,https://kwork.ru/user/monolit_agency,500,2.5,2,
